K,WCSS,Silhouette_Score
5,45897.32660613795,0.8038003409231238
10,16328.539351352083,0.7187898492410378
15,9365.467957135621,0.607775660421542
20,6384.778675399224,0.5572842440153865
30,3758.0807690855013,0.5306445672284821
50,1934.273180914955,0.5599889054972911
