cluster,num_users,percentage,mean_ru,std_ru,min_ru,max_ru,center
0,668722,79.57,4.9917,0.0493,4.55,5.0,4.9917
1,13106,1.56,2.04,0.1353,1.55,2.54,2.04
2,102297,12.17,4.0985,0.2072,3.59,4.54,4.0985
3,25721,3.06,1.0053,0.0498,1.0,1.5,1.0053
4,30526,3.63,3.0726,0.1784,2.56,3.58,3.0726
