item_id,num_raters,cluster,cluster_size,similar_in_cluster,similar_global,ratio
B004Y9OGSK,2,43,12137,1,5,0.2
B00000G10Y,1,31,230584,0,2,0.0
B002836XDK,1,2,11308,17,83,0.20481927710843373
B00LHYRTJS,2,29,5145,0,3,0.0
B000TPIE0E,1,31,230584,5,7,0.7142857142857143
B00DIFC9JO,1,31,230584,1,2,0.5
B001CNATPA,1,31,230584,2,9,0.2222222222222222
B01DH9WAZS,1,31,230584,0,0,0.0
B00130QYB0,1,31,230584,6,17,0.35294117647058826
B000XTBWTQ,3,47,17018,0,2,0.0
