K,WCSS,Silhouette,Time_seconds
5,510928.4042055473,0.8174787406637098,0.7432308197021484
10,459764.66306380875,0.7270758570291859,0.6216859817504883
15,385659.09814182244,0.8312250864167061,0.557955265045166
20,295167.7924110392,0.8417967970691232,0.5307929515838623
30,352455.8203264143,0.8582872859001988,0.5652220249176025
50,292434.7084651829,0.89909197735613,0.6011419296264648
