cluster_label,Total_Users,Isolated_Users,Isolation_Rate (%)
0,39832,31888.0,80.05623619200642
1,2187,2187.0,100.0
2,1404,0.0,0.0
3,358,0.0,0.0
4,183,0.0,0.0
5,19,0.0,0.0
6,294,194.0,65.98639455782312
7,5733,181.0,3.1571603000174426
8,57,0.0,0.0
9,43,0.0,0.0
